[02:54.0] [DEBUG] Triangle의 능력 사용 횟수: 10번
[02:54.2] [DEBUG] Triangle의 능력 사용 횟수: 11번
[02:54.4] [DEBUG] Triangle의 능력 사용 횟수: 12번
[02:54.6] [DEBUG] Triangle의 능력 사용 횟수: 13번
[02:54.8] [DEBUG] Triangle의 능력 사용 횟수: 14번
[02:54.9] [DEBUG] Triangle의 능력 사용 횟수: 15번
[02:55.1] [DEBUG] Triangle의 능력 사용 횟수: 16번
[02:55.3] [DEBUG] Triangle의 능력 사용 횟수: 17번
[02:55.5] [DEBUG] Triangle의 능력 사용 횟수: 18번
[02:55.6] [DEBUG] Triangle의 능력 사용 횟수: 19번
[02:55.8] [DEBUG] Triangle의 능력 사용 횟수: 20번
[02:56.0] [DEBUG] Triangle의 능력 사용 횟수: 21번
[02:56.2] [DEBUG] Triangle의 능력 사용 횟수: 22번
[02:56.3] [DEBUG] Triangle의 능력 사용 횟수: 23번
[02:56.5] [DEBUG] Triangle의 능력 사용 횟수: 24번
[02:56.7] [DEBUG] Triangle의 능력 사용 횟수: 25번
[02:57.6] [INFO] 스테이지 [Stage2] 진입
[02:58.2] [DEBUG] Triangle의 능력 사용 횟수: 26번
[02:58.8] [DEBUG] Triangle의 능력 사용 횟수: 27번
[02:59.3] [DEBUG] Triangle의 능력 사용 횟수: 28번
[02:59.5] [DEBUG] Triangle의 능력 사용 횟수: 29번
[02:59.7] [DEBUG] Triangle의 능력 사용 횟수: 30번
[02:59.9] [DEBUG] Triangle의 능력 사용 횟수: 31번
[03:00.1] [DEBUG] Triangle의 능력 사용 횟수: 32번
[03:00.2] [DEBUG] Triangle의 능력 사용 횟수: 33번
[03:00.4] [DEBUG] Triangle의 능력 사용 횟수: 34번
[03:00.6] [DEBUG] Triangle의 능력 사용 횟수: 35번
[03:00.8] [DEBUG] Triangle의 능력 사용 횟수: 36번
[03:01.0] [DEBUG] Triangle의 능력 사용 횟수: 37번
[03:01.1] [DEBUG] Triangle의 능력 사용 횟수: 38번
[03:01.3] [DEBUG] Triangle의 능력 사용 횟수: 39번
[03:03.3] [DEBUG] Triangle의 능력 사용 횟수: 40번
[03:04.5] [DEBUG] Triangle의 능력 사용 횟수: 41번
[03:05.0] [DEBUG] Triangle의 능력 사용 횟수: 42번
[03:05.4] [DEBUG] Triangle의 능력 사용 횟수: 43번
[03:05.8] [DEBUG] Triangle의 능력 사용 횟수: 44번
[03:06.6] [DEBUG] 플레이어 죽음 횟수: 1번
[03:08.4] [DEBUG] Triangle의 능력 사용 횟수: 45번
[03:08.9] [DEBUG] Triangle의 능력 사용 횟수: 46번
[03:09.3] [DEBUG] Triangle의 능력 사용 횟수: 47번
[03:09.5] [DEBUG] Triangle의 능력 사용 횟수: 48번
[03:09.7] [DEBUG] Triangle의 능력 사용 횟수: 49번
[03:09.8] [DEBUG] 플레이어 죽음 횟수: 2번
[03:11.1] [DEBUG] Triangle의 능력 사용 횟수: 50번
[03:11.3] [DEBUG] Triangle의 능력 사용 횟수: 51번
[03:11.7] [DEBUG] Triangle의 능력 사용 횟수: 52번
[03:11.8] [DEBUG] Triangle의 능력 사용 횟수: 53번
[03:12.0] [DEBUG] Triangle의 능력 사용 횟수: 54번
[03:13.7] [DEBUG] Triangle의 능력 사용 횟수: 55번
[03:13.9] [DEBUG] Triangle의 능력 사용 횟수: 56번
[03:14.1] [DEBUG] Triangle의 능력 사용 횟수: 57번
[03:14.2] [DEBUG] 플레이어 죽음 횟수: 3번
[03:15.9] [DEBUG] Triangle의 능력 사용 횟수: 58번
[03:16.1] [DEBUG] Triangle의 능력 사용 횟수: 59번
[03:16.3] [DEBUG] Triangle의 능력 사용 횟수: 60번
[03:16.4] [DEBUG] Triangle의 능력 사용 횟수: 61번
[03:16.6] [DEBUG] Triangle의 능력 사용 횟수: 62번
[03:16.8] [DEBUG] Triangle의 능력 사용 횟수: 63번
[03:17.1] [DEBUG] Triangle의 능력 사용 횟수: 64번
[03:17.3] [DEBUG] Triangle의 능력 사용 횟수: 65번
[03:17.5] [DEBUG] Triangle의 능력 사용 횟수: 66번
[03:17.6] [DEBUG] Triangle의 능력 사용 횟수: 67번
[03:17.8] [DEBUG] Triangle의 능력 사용 횟수: 68번
[03:19.5] [DEBUG] Triangle의 능력 사용 횟수: 69번
[03:19.8] [DEBUG] Triangle의 능력 사용 횟수: 70번
[03:20.8] [DEBUG] Triangle의 능력 사용 횟수: 71번
[03:21.1] [DEBUG] Triangle의 능력 사용 횟수: 72번
[03:21.2] [DEBUG] 플레이어 죽음 횟수: 4번
